datum,Date,Time,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name
1/2/2014 8:00,2014-01-02,08:00,0,0.67,0.4,2,0,0,0,1,2014,1,8,Thursday
1/2/2014 9:00,2014-01-02,09:00,0,0,1,0,2,0,0,0,2014,1,9,Thursday
1/2/2014 10:00,2014-01-02,10:00,0,0,0,3,2,0,0,0,2014,1,10,Thursday
1/2/2014 11:00,2014-01-02,11:00,0,0,0,2,1,0,0,0,2014,1,11,Thursday
1/2/2014 12:00,2014-01-02,12:00,0,2,0,5,2,0,0,0,2014,1,12,Thursday
1/2/2014 13:00,2014-01-02,13:00,0,1,2,20.4,0,0,0,1,2014,1,13,Thursday
1/2/2014 14:00,2014-01-02,14:00,0,0,0,0,0,0,0,0,2014,1,14,Thursday
1/2/2014 15:00,2014-01-02,15:00,0,0,0,0,0,0,0,0,2014,1,15,Thursday
1/2/2014 16:00,2014-01-02,16:00,0,0,0,0,0,0,0,0,2014,1,16,Thursday
1/2/2014 17:00,2014-01-02,17:00,0,0,0,0,0,0,0,0,2014,1,17,Thursday
1/2/2014 18:00,2014-01-02,18:00,0,0,0,0,0,0,0,0,2014,1,18,Thursday
1/2/2014 19:00,2014-01-02,19:00,0,0,0,0,0,0,0,0,2014,1,19,Thursday
1/2/2014 20:00,2014-01-02,20:00,0,0,0,0,0,0,0,0,2014,1,20,Thursday
1/2/2014 21:00,2014-01-02,21:00,0,0,0,0,0,0,0,0,2014,1,21,Thursday
1/2/2014 22:00,2014-01-02,22:00,0,0,0,0,0,0,0,0,2014,1,22,Thursday
1/2/2014 23:00,2014-01-02,23:00,0,0,0,0,0,0,0,0,2014,1,23,Thursday
1/3/2014 0:00,2014-01-03,00:00,0,0,0,0,0,0,0,0,2014,1,0,Friday
1/3/2014 1:00,2014-01-03,01:00,0,0,0,0,0,0,0,0,2014,1,1,Friday
1/3/2014 2:00,2014-01-03,02:00,0,0,0,0,0,0,0,0,2014,1,2,Friday
1/3/2014 3:00,2014-01-03,03:00,0,0,0,0,0,0,0,0,2014,1,3,Friday
1/3/2014 4:00,2014-01-03,04:00,0,0,0,0,0,0,0,0,2014,1,4,Friday
1/3/2014 5:00,2014-01-03,05:00,0,0,0,0,0,0,0,0,2014,1,5,Friday
1/3/2014 6:00,2014-01-03,06:00,0,0,0,0,0,0,0,0,2014,1,6,Friday
1/3/2014 7:00,2014-01-03,07:00,0,0,0,0,1,0,0,0,2014,1,7,Friday
1/3/2014 8:00,2014-01-03,08:00,0,0,0,0.6,0,0,0,0,2014,1,8,Friday
1/3/2014 9:00,2014-01-03,09:00,0,0,1,1,0,0,0,0,2014,1,9,Friday
1/3/2014 10:00,2014-01-03,10:00,1,2,0,4.1,2,0,0,0,2014,1,10,Friday
1/3/2014 11:00,2014-01-03,11:00,4,0,1,8,4,0,0,0,2014,1,11,Friday
1/3/2014 12:00,2014-01-03,12:00,0,0,0.4,10.4,4,0,10,1,2014,1,12,Friday
1/3/2014 13:00,2014-01-03,13:00,1,1,0,3,2,0,0,0,2014,1,13,Friday
1/3/2014 14:00,2014-01-03,14:00,0,0,0,3,0,0,1,0,2014,1,14,Friday
1/3/2014 15:00,2014-01-03,15:00,1,0,0,3,0,0,6,2,2014,1,15,Friday
1/3/2014 16:00,2014-01-03,16:00,0,1,0,4.2,0,0,2,0,2014,1,16,Friday
1/3/2014 17:00,2014-01-03,17:00,1,0,1,4,1,0,0,1,2014,1,17,Friday
1/3/2014 18:00,2014-01-03,18:00,0,0,1,0.3,2,0,0,0,2014,1,18,Friday
1/3/2014 19:00,2014-01-03,19:00,0,0,0,1,0,0,1,0,2014,1,19,Friday
1/3/2014 20:00,2014-01-03,20:00,0,0,0,8,0,0,0,0,2014,1,20,Friday
1/3/2014 21:00,2014-01-03,21:00,0,0,0,0,0,0,0,0,2014,1,21,Friday
1/3/2014 22:00,2014-01-03,22:00,0,0,0,0,0,0,0,0,2014,1,22,Friday
1/3/2014 23:00,2014-01-03,23:00,0,0,0,0,0,0,0,0,2014,1,23,Friday
1/4/2014 0:00,2014-01-04,00:00,0,0,0,0,0,0,0,0,2014,1,0,Saturday
1/4/2014 1:00,2014-01-04,01:00,0,0,0,0,0,0,0,0,2014,1,1,Saturday
1/4/2014 2:00,2014-01-04,02:00,0,0,0,0,0,0,0,0,2014,1,2,Saturday
1/4/2014 3:00,2014-01-04,03:00,0,0,0,0,0,0,0,0,2014,1,3,Saturday
1/4/2014 4:00,2014-01-04,04:00,0,0,0,0,0,0,0,0,2014,1,4,Saturday
1/4/2014 5:00,2014-01-04,05:00,0,0,0,0,0,0,0,0,2014,1,5,Saturday
1/4/2014 6:00,2014-01-04,06:00,0,0,0,0,0,0,0,0,2014,1,6,Saturday
1/4/2014 7:00,2014-01-04,07:00,0,0,0,0,0,0,0,0,2014,1,7,Saturday
1/4/2014 8:00,2014-01-04,08:00,1,0,0.2,0,0,0,0,0,2014,1,8,Saturday
1/4/2014 9:00,2014-01-04,09:00,0,0,0,9,0,0,0,0,2014,1,9,Saturday
1/4/2014 10:00,2014-01-04,10:00,0,0,1,9,3,0,5,0,2014,1,10,Saturday
1/4/2014 11:00,2014-01-04,11:00,1,0,2,5,0,0,0,0,2014,1,11,Saturday
1/4/2014 12:00,2014-01-04,12:00,0,0,0,2,0,0,0,0,2014,1,12,Saturday
1/4/2014 13:00,2014-01-04,13:00,0,0,0,3,1,0,0,0,2014,1,13,Saturday
1/4/2014 14:00,2014-01-04,14:00,0,1,0,6,2,0,0,0,2014,1,14,Saturday
1/4/2014 15:00,2014-01-04,15:00,0,0,0,1,0,0,0,0,2014,1,15,Saturday
1/4/2014 16:00,2014-01-04,16:00,0,0,0.3,6,0,0,0,0,2014,1,16,Saturday
1/4/2014 17:00,2014-01-04,17:00,0,0,0,1.25,1,0,0,0,2014,1,17,Saturday
1/4/2014 18:00,2014-01-04,18:00,0,0,0,10,0,0,0,0,2014,1,18,Saturday
1/4/2014 19:00,2014-01-04,19:00,0,0,3,9,0,0,4,1,2014,1,19,Saturday
1/4/2014 20:00,2014-01-04,20:00,0,0,0,0.6,3,0,0,0,2014,1,20,Saturday
1/4/2014 21:00,2014-01-04,21:00,0,0,0,0,0,0,0,0,2014,1,21,Saturday
1/4/2014 22:00,2014-01-04,22:00,0,0,0,0,0,0,0,0,2014,1,22,Saturday
1/4/2014 23:00,2014-01-04,23:00,0,0,0,0,0,0,0,0,2014,1,23,Saturday
1/5/2014 0:00,2014-01-05,00:00,0,0,0,0,0,0,0,0,2014,1,0,Sunday
1/5/2014 1:00,2014-01-05,01:00,0,0,0,0,0,0,0,0,2014,1,1,Sunday
